stack	hardware
0 0
17 80
31 512
50 432
66 640
88 632
104 1464
125 1880
140 1744
162 1648
183 1736
199 2148
248 2144
264 2252
523 2248
533 2608
554 2604
572 568
585 820
608 644
622 768
640 760
659 960
679 1072
700 760
724 1240
749 948
762 1072
775 944
789 944
804 1072
819 948
834 1076
849 1116
865 1112
882 960
899 952
917 1112
935 760
953 1088
973 1076
993 960
1012 780
1036 188
1060 316
1084 200
1108 404
1132 532
1144 516
1165 728
1175 700
1185 580
1195 528
1205 516
1215 356
1225 684
1235 420
1245 356
1255 420
1265 148
1275 336
1285 228
1295 700
1305 580
1315 788
1325 612
1335 368
1345 532
1355 472
1365 408
1375 244
1385 340
1395 312
1405 320
1415 340
1425 324
