stack	loop
0 0
17 80
45 432
66 640
92 592
111 1552
129 1928
161 1648
182 1736
198 2148
247 2144
264 2252
522 2248
532 2608
553 2604
577 800
607 644
638 1240
656 944
675 1112
695 948
717 764
743 1112
769 944
795 956
825 1076
841 772
857 944
873 948
890 952
907 756
925 1072
943 948
962 764
981 944
1001 956
1021 1088
1041 636
1061 236
1081 200
1101 248
1121 148
1141 580
1162 576
1182 732
1208 532
1228 376
1248 420
1268 392
1298 632
1308 608
1318 536
1328 760
1338 436
1348 260
1358 280
1368 532
1378 452
1388 408
1398 308
1408 312
1418 320
1429 324
1439 332
