stack	recursive
0 0
46 432
90 596
140 1744
199 2148
265 2252
522 2248
592 812
656 1116
699 960
750 768
803 1112
862 1076
929 756
979 764
1030 364
1102 532
1157 532
1229 424
1265 448
1301 20600
1337 188272
1373 358932
1409 531092
1454 746832
1494 935792
1534 1127184
1574 1313936
1614 1503700
1654 1695284
1694 1883184
1734 2073944
1774 2265104
1814 2453880
1854 2645400
1894 2835416
1934 3026864
1970 3200496
2010 3104184
2050 3004848
2090 2906772
2130 2807764
2170 2708312
2210 2609328
2250 2509808
2290 2411384
2330 2312688
2370 2214136
2410 2116176
2450 2016816
2486 1927828
2522 1839284
2558 1750288
2594 1662324
2630 1573972
2666 1485400
2702 1396408
2738 1307736
2774 1219192
2810 1131248
2846 1041816
2882 952752
2918 863512
2954 773624
2990 683992
3026 595064
3062 505492
3098 417240
3134 328248
3170 238776
3206 149460
3242 60280
3278 312
3314 260
3350 312
