stack	tail_call
0 0
264 2252
533 2608
720 756
961 1088
1154 692
1298 784
1487 656
1647 608
1807 580
1967 580
2127 656
2287 572
2447 664
2607 584
2767 584
2987 576
3147 612
3307 616
3487 656
3647 664
3807 660
3987 580
4147 572
4307 664
4487 664
4647 608
4807 616
4987 656
5147 616
5307 660
5487 608
5647 584
5807 664
5987 656
6147 608
6307 660
6487 616
6647 584
6807 580
6987 604
7147 656
7307 656
7487 608
7647 616
7807 660
7987 608
8147 608
8307 608
8487 572
8631 588
8775 580
8919 584
9063 660
9207 432
